Date,Open,High,Low,Close,Volume,Adj Close
2000-10-20,156.96,156.96,156.96,156.96,0,190.06
2000-10-19,152.98,152.98,152.98,152.98,0,185.24
2000-10-18,144.05,144.05,144.05,144.05,0,174.43
2000-10-17,143.32,143.32,143.32,143.32,0,173.53
2000-10-16,149.46,149.46,149.46,149.46,0,180.97
2000-10-13,146.61,146.61,146.61,146.61,0,177.52
2000-10-12,134.78,134.78,134.78,134.78,0,163.2
2000-10-11,133.36,133.36,133.36,133.36,0,161.48
2000-10-10,141.61,141.61,141.61,141.61,0,171.46
2000-10-09,138.2,138.2,138.2,138.2,0,167.33
2000-10-06,143.88,143.88,143.88,143.88,0,174.22
2000-10-05,149.86,149.86,149.86,149.86,0,181.45
2000-10-04,142.06,142.06,142.06,142.06,0,172.01
2000-10-03,143.03,143.03,143.03,143.03,0,173.19
2000-10-02,142.75,142.75,142.75,142.75,0,172.84
2000-09-29,143.6,143.6,143.6,143.6,0,173.87
2000-09-28,141.21,141.21,141.21,141.21,0,170.98
2000-09-27,142.18,142.18,142.18,142.18,0,172.15
2000-09-26,139.33,139.33,139.33,139.33,0,168.71
2000-09-25,137.8,137.8,137.8,137.8,0,166.85
2000-09-22,134.22,134.22,134.22,134.22,0,162.51
2000-09-21,136.21,136.21,136.21,136.21,0,164.92
2000-09-20,140.47,140.47,140.47,140.47,0,170.09
2000-09-19,149.46,149.46,149.46,149.46,0,180.97
2000-09-18,150.42,150.42,150.42,150.42,0,182.14
2000-09-15,153.55,153.55,153.55,153.55,0,185.92
2000-09-14,155.83,155.83,155.83,155.83,0,188.68
2000-09-13,150.31,150.31,150.31,150.31,0,182
2000-09-12,155.26,155.26,155.26,155.26,0,187.99
2000-09-11,154.29,154.29,154.29,154.29,0,186.82
2000-09-08,161.51,161.51,161.51,161.51,0,195.57
2000-09-07,165.49,165.49,165.49,165.49,0,200.39
2000-09-06,160.38,160.38,160.38,160.38,0,194.19
2000-09-05,166.06,166.06,166.06,166.06,0,201.07
2000-09-04,162.08,162.08,162.08,162.08,0,196.25
2000-09-01,170.61,170.61,170.61,170.61,0,206.58
2000-08-31,158.27,158.27,158.27,158.27,0,191.64
2000-08-30,155.14,155.14,155.14,155.14,0,187.85
2000-08-29,155.26,155.26,155.26,155.26,0,187.99
2000-08-28,152.41,152.41,152.41,152.41,0,184.55
2000-08-25,152.41,152.41,152.41,152.41,0,184.55
2000-08-24,149,149,149,149,0,180.42
2000-08-23,144.74,144.74,144.74,144.74,0,175.25
2000-08-22,148.72,148.72,148.72,148.72,0,180.07
2000-08-21,150.42,150.42,150.42,150.42,0,182.14
2000-08-18,152.41,152.41,152.41,152.41,0,184.55
2000-08-17,153.55,153.55,153.55,153.55,0,185.92
2000-08-16,160.09,160.09,160.09,160.09,0,193.84
2000-08-15,159.24,159.24,159.24,159.24,0,192.81
2000-08-14,157.25,157.25,157.25,157.25,0,190.4
2000-08-11,153.55,153.55,153.55,153.55,0,185.92
2000-08-10,156.4,156.4,156.4,156.4,0,189.37
2000-08-09,158.95,158.95,158.95,158.95,0,192.47
2000-08-08,157.42,157.42,157.42,157.42,0,190.61
2000-08-07,155.43,155.43,155.43,155.43,0,188.2
2000-08-04,162.37,162.37,162.37,162.37,0,196.6
2000-08-03,154.12,154.12,154.12,154.12,0,186.61
